[28-Apr-2014 08:33:02 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 14
[28-Apr-2014 08:33:02 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 14
[28-Apr-2014 08:33:02 Europe/Berlin] PHP Warning:  require(/includes/routes/routes.php) [<a href='0function.require0'>function.require0</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/gumbo/app/index.php on line 3
[28-Apr-2014 08:33:02 Europe/Berlin] PHP Fatal error:  require() [<a href='0function.require0'>function.require0</a>]: Failed opening required '/includes/routes/routes.php' (include_path='.:/Applications/MAMP/bin/php/php5.5.3/lib/php') in /Applications/MAMP/htdocs/gumbo/app/index.php on line 3
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 6
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 7
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Notice:  Use of undefined constant SITEURL - assumed 'SITEURL' in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 9
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 9
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 9
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Notice:  Use of undefined constant APPURL - assumed 'APPURL' in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 10
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 10
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 10
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Notice:  Use of undefined constant ROUTER - assumed 'ROUTER' in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 11
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 14
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 14
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 14
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 14
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Warning:  require(/includes/routes/routes.php) [<a href='0function.require0'>function.require0</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/gumbo/app/index.php on line 3
[28-Apr-2014 08:33:31 Europe/Berlin] PHP Fatal error:  require() [<a href='0function.require0'>function.require0</a>]: Failed opening required '/includes/routes/routes.php' (include_path='.:/Applications/MAMP/bin/php/php5.5.3/lib/php') in /Applications/MAMP/htdocs/gumbo/app/index.php on line 3
[28-Apr-2014 08:34:12 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 6
[28-Apr-2014 08:34:12 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 7
[28-Apr-2014 08:34:12 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 9
[28-Apr-2014 08:34:12 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 9
